year,fixture_id,round,home_team,away_team,home_goals,away_goals,home_team_odds,draw_odds,away_team_odds,favourite_team,favourite_odds,outsider_team,outsider_odds,result,result_entity,result_team,result_odds,bookie_correct
2002,7,1,England,Sweden,1,1,1.93,3.17,4.29,England,1.93,Sweden,4.29,draw,draw,Draw,3.17,FALSE
2002,8,1,Argentina,Nigeria,1,0,1.65,3.58,5.58,Argentina,1.65,Nigeria,5.58,home,favourite,Argentina,1.65,TRUE
2002,9,1,Brazil,Turkey,2,1,1.44,4.16,7.7,Brazil,1.44,Turkey,7.7,home,favourite,Brazil,1.44,TRUE
2002,10,1,Italy,Ecuador,2,0,1.38,4.22,8.22,Italy,1.38,Ecuador,8.22,home,favourite,Italy,1.38,TRUE
2002,11,1,Croatia,Mexico,0,1,2.34,2.93,3.35,Croatia,2.34,Mexico,3.35,away,outsider,Mexico,3.35,FALSE
2002,12,1,China,Costa Rica,0,2,3.4,3.04,2.26,Costa Rica,2.26,China,3.4,away,favourite,Costa Rica,2.26,TRUE
2002,13,1,South Korea,Poland,2,0,2.57,2.95,2.93,South Korea,2.57,Poland,2.93,home,favourite,South Korea,2.57,TRUE
2002,14,1,Japan,Belgium,2,2,2.58,2.94,2.9,Japan,2.58,Belgium,2.9,draw,draw,Draw,2.94,FALSE
2002,15,1,USA,Portugal,3,2,7.67,4.3,1.4,Portugal,1.4,USA,7.67,home,outsider,USA,7.67,FALSE
2002,16,1,Germany,Ireland,1,1,1.62,3.56,5.67,Germany,1.62,Ireland,5.67,draw,draw,Draw,3.56,FALSE
2002,17,2,Russia,Tunisia,2,0,1.56,3.7,6.12,Russia,1.56,Tunisia,6.12,home,favourite,Russia,1.56,TRUE
2002,18,2,France,Uruguay,0,0,1.49,3.88,7.02,France,1.49,Uruguay,7.02,draw,draw,Draw,3.88,FALSE
2002,19,2,Denmark,Senegal,1,1,2.24,2.96,3.53,Denmark,2.24,Senegal,3.53,draw,draw,Draw,2.96,FALSE
2002,20,2,Cameroon,Saudi Arabia,1,0,1.31,4.9,8.71,Cameroon,1.31,Saudi Arabia,8.71,home,favourite,Cameroon,1.31,TRUE
2002,21,2,Spain,Paraguay,3,1,1.61,3.48,6.09,Spain,1.61,Paraguay,6.09,home,favourite,Spain,1.61,TRUE
2002,22,2,Sweden,Nigeria,2,1,2.65,2.94,2.83,Sweden,2.65,Nigeria,2.83,home,favourite,Sweden,2.65,TRUE
2002,23,2,Argentina,England,0,1,2.12,2.93,3.89,Argentina,2.12,England,3.89,away,outsider,England,3.89,FALSE
2002,24,2,South Africa,Slovenia,1,0,3.18,2.99,2.4,Slovenia,2.4,South Africa,3.18,home,outsider,South Africa,3.18,FALSE
2002,25,2,Brazil,China,4,0,1.13,6.78,9.99,Brazil,1.13,China,9.99,home,favourite,Brazil,1.13,TRUE
2002,26,2,Italy,Croatia,1,2,1.6,3.53,5.98,Italy,1.6,Croatia,5.98,away,outsider,Croatia,5.98,FALSE
2002,27,2,Costa Rica,Turkey,1,1,4.18,3.32,1.88,Turkey,1.88,Costa Rica,4.18,draw,draw,Draw,3.32,FALSE
2002,28,2,Mexico,Ecuador,2,1,2.1,3.03,3.92,Mexico,2.1,Ecuador,3.92,home,favourite,Mexico,2.1,TRUE
2002,29,2,Japan,Russia,1,0,2.95,2.89,2.66,Russia,2.66,Japan,2.95,home,outsider,Japan,2.95,FALSE
2002,30,2,South Korea,USA,1,1,2.33,2.94,3.51,South Korea,2.33,USA,3.51,draw,draw,Draw,2.94,FALSE
2002,31,2,Portugal,Poland,4,0,1.63,3.64,5.49,Portugal,1.63,Poland,5.49,home,favourite,Portugal,1.63,TRUE
2002,32,2,Tunisia,Belgium,1,1,6.02,3.81,1.56,Belgium,1.56,Tunisia,6.02,draw,draw,Draw,3.81,FALSE
2002,33,3,Senegal,Uruguay,3,3,2.81,3.04,2.62,Uruguay,2.62,Senegal,2.81,draw,draw,Draw,3.04,FALSE
2002,34,3,Denmark,France,2,0,6.72,3.86,1.53,France,1.53,Denmark,6.72,home,outsider,Denmark,6.72,FALSE
